Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,TR1,TR2,TR3,TRmax,N1,N2,MavgB1,MavgS1,MavgB2,MavgS2,Trade,Unit,Date,LastPrice,CurrentPrice,EntryPrice,ExitPrice,StopPrice,StopInd,N,Direction,StartPos,PNL,TxCost,EndPos,Return,RisktoEq%,PrevTradeLoser,PostCrisis
2016-03-17,10.43,11.07,10.06,10.9,52911909.0,0.0,1.0,10.43,11.07,10.06,10.9,52911909.0,1.0099999999999998,0.8499999999999996,0.16000000000000014,1.0099999999999998,0.8250849999999998,0.8229307499999997,1.0,1.0,0.0,1.0,8.0,1.0,2016-03-17,10.22,10.9,10.22,10.9,9.38649425,1.0,0.8335057499999999,1.0,123.88790955142285,8.243031163891134,0.0,132.13094071531398,0.06653620352250478,0.00012387256323851247,1.0,1.0
2016-03-18,11.04,11.445,10.44,10.76,79242438.0,0.0,1.0,11.04,11.445,10.44,10.76,79242438.0,1.0050000000000008,0.5449999999999999,0.46000000000000085,1.0050000000000008,0.8543349999999996,0.8340807499999998,0.0,0.0,0.0,0.0,8.0,3.0,2016-03-18,10.9,10.76,10.788522500000001,10.76,10.077069250000001,1.0,0.8229307499999997,1.0,376.47364357320737,-0.9953141867959483,1.2217135142894668,374.2566158721219,-0.002643781852427085,0.00037633196450733623,1.0,1.0
2016-03-21,10.65,10.93,10.35,10.8,31275517.0,0.0,1.0,10.65,10.93,10.35,10.8,31275517.0,0.5800000000000001,0.16999999999999993,0.41000000000000014,0.5800000000000001,0.8308349999999995,0.8406182499999997,0.0,0.0,0.0,0.0,8.0,3.0,2016-03-21,10.76,10.8,10.76,10.8,9.92591925,1.0,0.8340807499999998,1.0,374.2566158721219,1.391288534840648,0.0,375.6479044069626,0.0037174721189592312,0.00037411660025936724,1.0,1.0
2016-03-22,10.56,11.2,10.4299,10.99,31068002.0,0.0,1.0,10.56,11.2,10.4299,10.99,31068002.0,0.7700999999999993,0.3999999999999986,0.37010000000000076,0.7700999999999993,0.8303399999999996,0.8277982499999995,1.0,1.0,1.0,1.0,8.0,3.0,2016-03-22,10.8,10.99,10.8,10.99,9.95938175,1.0,0.8406182499999997,1.0,375.6479044069626,6.608620540492865,0.0,382.25652494745543,0.017592592592592604,0.0003755068460471545,1.0,1.0
2016-03-23,10.57,10.72,9.73,9.75,48648352.0,0.0,1.0,10.57,10.72,9.73,9.75,48648352.0,0.9900000000000002,0.2699999999999996,1.2599999999999998,1.2599999999999998,0.8578399999999995,0.8518229999999996,0.0,0.0,0.0,0.0,8.0,3.0,2016-03-23,10.99,9.75,10.99,10.162201750000001,10.162201750000001,1.0,0.8277982499999995,1.0,382.25652494745543,-28.792655359652837,1.2217135142894668,352.2421560735131,-0.07532286169244762,0.00038211046073059046,1.0,1.0
2016-03-24,9.37,10.145,9.1,10.11,52527385.0,0.0,1.0,9.37,10.145,9.1,10.11,52527385.0,1.045,0.3949999999999996,0.6500000000000004,1.045,0.8825899999999995,0.8671979999999995,0.0,0.0,0.0,0.0,,,2016-03-24,,,,,,,,,,,,,,,,
2016-03-28,10.25,10.48,9.73,10.14,35295158.0,0.0,1.0,10.25,10.48,9.73,10.14,35295158.0,0.75,0.370000000000001,0.379999999999999,0.75,0.8860899999999996,0.8759604999999995,0.0,0.0,0.0,0.0,,,2016-03-28,,,,,,,,,,,,,,,,
2016-03-29,9.71,10.3,9.41,10.14,44124762.0,0.0,1.0,9.71,10.3,9.41,10.14,44124762.0,0.8900000000000006,0.16000000000000014,0.7300000000000004,0.8900000000000006,0.9100899999999996,0.8862854999999996,0.0,0.0,0.0,0.0,,,2016-03-29,,,,,,,,,,,,,,,,
2016-03-30,10.36,10.59,9.99,10.29,46703281.0,0.0,1.0,10.36,10.59,9.99,10.29,46703281.0,0.5999999999999996,0.4499999999999993,0.15000000000000036,0.5999999999999996,0.9090899999999996,0.8945854999999995,0.0,0.0,0.0,0.0,,,2016-03-30,,,,,,,,,,,,,,,,
2016-03-31,10.13,10.46,10.13,10.34,32847815.0,0.0,1.0,10.13,10.46,10.13,10.34,32847815.0,0.33000000000000007,0.1700000000000017,0.15999999999999837,0.33000000000000007,0.8625899999999997,0.8801354999999997,0.0,0.0,0.0,0.0,,,2016-03-31,,,,,,,,,,,,,,,,
2016-04-01,9.92,10.0,9.585,9.89,41391640.0,0.0,1.0,9.92,10.0,9.585,9.89,41391640.0,0.41499999999999915,0.33999999999999986,0.754999999999999,0.754999999999999,0.8633399999999998,0.8572104999999997,0.0,0.0,0.0,0.0,,,2016-04-01,,,,,,,,,,,,,,,,
2016-04-04,9.91,10.09,9.39,9.42,38611420.0,0.0,1.0,9.91,10.09,9.39,9.42,38611420.0,0.6999999999999993,0.1999999999999993,0.5,0.6999999999999993,0.8290899999999997,0.8551729999999997,0.0,-1.0,0.0,0.0,,,2016-04-04,,,,,,,,,,,,,,,,
2016-04-05,9.26,9.62,9.22,9.34,31995176.0,0.0,1.0,9.26,9.62,9.22,9.34,31995176.0,0.3999999999999986,0.1999999999999993,0.1999999999999993,0.3999999999999986,0.8145899999999997,0.8076354999999996,0.0,-1.0,0.0,0.0,,,2016-04-05,,,,,,,,,,,,,,,,
2016-04-06,9.47,9.65,9.1,9.61,37216698.0,0.0,1.0,9.47,9.65,9.1,9.61,37216698.0,0.5500000000000007,0.3100000000000005,0.2400000000000002,0.5500000000000007,0.7770899999999998,0.8013604999999998,0.0,0.0,0.0,0.0,,,2016-04-06,,,,,,,,,,,,,,,,
2016-04-07,9.28,9.51,8.76,8.85,61050074.0,0.0,1.0,9.28,9.51,8.76,8.85,61050074.0,0.75,0.09999999999999964,0.8499999999999996,0.8499999999999996,0.7815899999999998,0.7807354999999998,-1.0,-1.0,0.0,-1.0,,,2016-04-07,,,,,,,,,,,,,,,,
2016-04-08,9.17,9.53,9.02,9.33,37139882.0,0.0,1.0,9.17,9.53,9.02,9.33,37139882.0,0.5099999999999998,0.6799999999999997,0.16999999999999993,0.6799999999999997,0.7705899999999999,0.7765104999999998,0.0,0.0,0.0,0.0,12.0,1.0,2016-04-08,8.85,9.33,8.85,9.33,9.6307355,1.0,0.7807354999999998,-1.0,128.08435123034627,-6.946947863340819,1.2808435123034627,119.85655985470198,-0.05423728813559325,0.00012806794773034783,1.0,1.0
2016-04-11,9.58,9.88,9.51,9.76,33148040.0,0.0,1.0,9.58,9.88,9.51,9.76,33148040.0,0.370000000000001,0.5500000000000007,0.17999999999999972,0.5500000000000007,0.7745899999999999,0.7595604999999999,0.0,0.0,0.0,0.0,12.0,1.0,2016-04-11,9.33,9.76,9.33,9.76,10.1065105,1.0,0.7765104999999998,-1.0,119.85655985470198,-5.523935770366765,0.0,114.33262408433522,-0.04608788853161849,0.00011984219598136622,1.0,1.0
2016-04-12,10.03,10.48,9.9,10.43,58589449.0,0.0,1.0,10.03,10.48,9.9,10.43,58589449.0,0.5800000000000001,0.7200000000000006,0.14000000000000057,0.7200000000000006,0.7722549999999998,0.7718605,0.0,1.0,0.0,0.0,12.0,1.0,2016-04-12,9.76,10.43,9.76,10.43,10.519560499999999,1.0,0.7595604999999999,-1.0,114.33262408433522,-7.848653497592675,1.2808435123034627,105.20312707443908,-0.06864754098360648,0.00011431955362978458,1.0,1.0
2016-04-13,10.74,11.23,10.72,10.82,54910666.0,0.0,1.0,10.74,11.23,10.72,10.82,54910666.0,0.5099999999999998,0.8000000000000007,0.2900000000000009,0.8000000000000007,0.7652549999999998,0.7736422499999999,0.0,1.0,0.0,0.0,,,2016-04-13,,,,,,,,,,,,,,,,
2016-04-14,10.85,11.07,10.54,10.73,37693395.0,0.0,1.0,10.85,11.07,10.54,10.73,37693395.0,0.5300000000000011,0.25,0.28000000000000114,0.5300000000000011,0.7387549999999999,0.7534922499999999,0.0,0.0,0.0,0.0,,,2016-04-14,,,,,,,,,,,,,,,,
2016-04-15,10.47,10.925,10.35,10.86,29350172.0,0.0,1.0,10.47,10.925,10.35,10.86,29350172.0,0.5750000000000011,0.19500000000000028,0.3800000000000008,0.5750000000000011,0.717005,0.73056725,0.0,1.0,0.0,0.0,,,2016-04-15,,,,,,,,,,,,,,,,
2016-04-18,10.48,11.09,10.215,11.02,40993807.0,0.0,1.0,10.48,11.09,10.215,11.02,40993807.0,0.875,0.23000000000000043,0.6449999999999996,0.875,0.7105049999999999,0.72490475,1.0,1.0,1.0,1.0,,,2016-04-18,,,,,,,,,,,,,,,,
2016-04-19,11.07,12.02,11.06,12.01,62996680.0,0.0,1.0,11.07,12.02,11.06,12.01,62996680.0,0.9599999999999991,1.0,0.040000000000000924,1.0,0.731505,0.7249797499999999,1.0,1.0,1.0,1.0,13.0,1.0,2016-04-19,11.02,12.01,11.02,12.01,10.29509525,1.0,0.72490475,1.0,137.94915814801874,12.392891702952692,1.3794915814801874,148.96255826949124,0.08983666061705997,0.00013793013080259128,1.0,1.0
