Asset,T Ret,T <=2019,T >=2020,T Sharpe,T Mean,T Std,T-P Ret,T-P <=2019,T-P >=2020,T-P Sharpe,T-P Mean,T-P Std,Trades,Start,End
FMC,2.15,1.36,0.79,0.34,0.02,0.06,1.84,0.77,1.07,0.32,0.02,0.00,152.00,2013-11-18 00:00:00,2023-11-16 00:00:00
BRK-B,1.28,0.43,0.85,0.34,0.01,0.04,-0.03,-0.31,0.28,0.20,0.01,0.00,146.00,2013-11-18 00:00:00,2023-11-16 00:00:00
NKE,1.88,1.02,0.86,0.34,0.02,0.06,0.47,-0.05,0.52,0.23,0.01,0.00,141.00,2013-11-18 00:00:00,2023-11-15 00:00:00
WTW,1.18,0.54,0.64,0.34,0.01,0.04,0.18,-0.05,0.23,0.25,0.01,-0.01,132.00,2013-11-18 00:00:00,2023-11-16 00:00:00
IR,1.96,0.53,1.43,0.34,0.03,0.09,0.35,-0.17,0.53,0.19,0.02,0.01,91.00,2017-05-12 00:00:00,2023-11-16 00:00:00
NVDA,3.07,1.81,1.26,0.33,0.03,0.10,-2.81,-1.37,-1.44,0.07,0.01,0.01,137.00,2013-11-18 00:00:00,2023-11-15 00:00:00
PODD,3.26,1.77,1.50,0.33,0.03,0.10,0.76,-0.29,1.06,0.21,0.02,0.01,134.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MSCI,2.28,1.07,1.20,0.33,0.02,0.07,-0.66,-0.83,0.17,0.13,0.01,0.01,150.00,2013-11-18 00:00:00,2023-11-16 00:00:00
BA,2.88,1.27,1.60,0.33,0.03,0.09,1.70,0.24,1.46,0.27,0.03,0.01,135.00,2013-11-18 00:00:00,2023-11-16 00:00:00
WMT,1.49,0.99,0.51,0.33,0.02,0.05,0.58,0.51,0.06,0.25,0.01,0.00,141.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CZR,2.90,1.27,1.63,0.33,0.04,0.11,-1.06,-1.67,0.61,0.17,0.02,-0.02,116.00,2014-09-22 00:00:00,2023-11-16 00:00:00
CBRE,2.43,1.61,0.82,0.33,0.02,0.07,0.68,0.44,0.24,0.22,0.01,0.00,155.00,2013-11-18 00:00:00,2023-11-15 00:00:00
ALB,3.43,1.01,2.42,0.33,0.03,0.10,2.00,0.68,1.33,0.26,0.03,0.01,153.00,2013-11-18 00:00:00,2023-11-16 00:00:00
J,1.59,1.16,0.44,0.33,0.02,0.05,0.46,0.66,-0.20,0.24,0.01,-0.01,140.00,2013-11-18 00:00:00,2023-11-16 00:00:00
LLY,1.93,0.77,1.16,0.33,0.02,0.06,-0.89,-0.28,-0.61,0.11,0.01,0.01,138.00,2013-11-18 00:00:00,2023-11-16 00:00:00
AZO,1.70,1.07,0.63,0.33,0.02,0.06,-0.37,-0.02,-0.35,0.15,0.01,0.00,131.00,2013-11-18 00:00:00,2023-11-16 00:00:00
