Asset,SumT:All,SumT:<=2019,SumT:>=2020,SumT:Longs,SumT:Shorts,SumT-P:All,SumT-P:<=2019,SumT-P:>=2020,SumT-P:Longs,SumT-P:Shorts,SharpeT:All,SharpeT:<=2019,SharpeT:>=2020,SharpeT:Longs,SharpeT:Shorts,SharpeT-P:All,SharpeT-P:<=2019,SharpeT-P:>=2020,SharpeT-P:Longs,SharpeT-P:Shorts,%Win:All,%Win:<=2019,%Win:>=2020,%Win:Longs,%Win:Shorts,Mean:All,Mean:<=2019,Mean:>=2020,Mean:Longs,Mean:Shorts,Std:All,Std:<=2019,Std:>=2020,Std:Longs,Std:Shorts,No:All,No:<=2019,No:>=2020,No:Longs,No:Shorts,Stops,Start,End
BXP,2.11,0.73,1.38,0.83,1.28,2.24,0.45,1.79,0.50,1.50,0.12,0.12,0.14,0.12,0.13,0.13,0.11,0.16,0.08,0.15,0.53,0.53,0.54,0.56,0.50,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,96.00,57.00,39.00,48.00,48.00,0.00,11/18/13,11/16/23
HCA,1.93,0.53,1.39,1.73,0.20,-0.30,-0.84,0.55,0.94,-0.17,0.09,0.06,0.14,0.14,0.02,0.05,0.00,0.11,0.08,-0.02,0.50,0.49,0.51,0.51,0.47,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.02,93.00,62.00,31.00,52.00,41.00,0.00,11/18/13,11/16/23
PH,2.08,0.86,1.22,1.44,0.63,0.31,0.18,0.13,0.72,0.30,0.12,0.09,0.14,0.15,0.08,0.08,0.06,0.10,0.08,0.04,0.52,0.50,0.54,0.54,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,106.00,64.00,42.00,55.00,51.00,0.00,11/18/13,11/16/23
NDAQ,1.43,0.52,0.91,1.16,0.27,-0.33,-0.60,0.27,0.88,-0.13,0.10,0.07,0.14,0.14,0.05,0.06,0.01,0.11,0.11,-0.01,0.53,0.51,0.56,0.55,0.48,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,99.00,64.00,35.00,56.00,43.00,0.00,11/18/13,11/16/23
CAG,1.16,0.50,0.66,0.49,0.67,0.71,0.11,0.59,0.66,0.76,0.09,0.06,0.14,0.08,0.10,0.08,0.04,0.14,0.10,0.11,0.50,0.49,0.52,0.51,0.48,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,99.00,72.00,27.00,53.00,46.00,0.00,11/18/13,11/16/23
TMO,1.21,0.35,0.85,1.20,0.01,-0.63,-0.93,0.30,0.68,-0.68,0.09,0.05,0.14,0.17,0.00,0.05,-0.01,0.11,0.10,-0.11,0.53,0.51,0.56,0.56,0.48,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,101.00,65.00,37.00,54.00,47.00,0.00,11/18/13,11/16/23
TEL,1.78,0.98,0.80,1.35,0.43,0.49,0.29,0.21,0.86,0.37,0.12,0.11,0.14,0.16,0.06,0.09,0.08,0.11,0.11,0.05,0.54,0.54,0.53,0.56,0.51,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,108.00,69.00,40.00,63.00,45.00,0.00,11/18/13,11/16/23
GM,2.45,0.78,1.67,1.33,1.11,2.15,0.63,1.52,0.52,1.06,0.10,0.08,0.14,0.13,0.08,0.10,0.07,0.13,0.05,0.08,0.50,0.50,0.51,0.51,0.50,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.02,95.00,61.00,35.00,39.00,56.00,0.00,11/18/13,11/16/23
MRNA,2.96,0.82,2.14,1.77,1.19,0.34,0.73,-0.39,1.03,1.30,0.14,0.17,0.14,0.18,0.12,0.10,0.16,0.09,0.11,0.12,0.53,0.54,0.52,0.50,0.54,0.01,0.01,0.01,0.01,0.00,0.04,0.04,0.04,0.05,0.04,48.00,11.00,37.00,25.00,23.00,0.00,12/07/18,11/16/23
TECH,1.19,0.03,1.15,1.02,0.17,-0.25,-1.03,0.78,0.68,-0.26,0.07,0.00,0.14,0.11,0.02,0.04,-0.04,0.12,0.07,-0.03,0.51,0.49,0.55,0.53,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,102.00,69.00,33.00,56.00,46.00,0.00,11/18/13,11/16/23
XRP-USD,7.46,2.77,4.69,5.74,1.72,2.13,1.14,0.99,2.73,0.52,0.14,0.15,0.14,0.19,0.09,0.10,0.12,0.09,0.08,0.05,0.50,0.50,0.51,0.50,0.51,0.01,0.01,0.01,0.02,0.00,0.07,0.09,0.06,0.10,0.04,78.00,25.00,53.00,41.00,37.00,0.00,11/09/17,11/15/23
AES,1.09,0.12,0.97,0.75,0.34,0.42,-0.27,0.69,0.65,-0.19,0.07,0.01,0.14,0.10,0.04,0.06,0.00,0.12,0.09,-0.02,0.51,0.49,0.54,0.53,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,94.00,65.00,30.00,46.00,48.00,0.00,11/18/13,11/16/23
MCO,1.81,0.73,1.08,1.53,0.28,-0.11,-0.54,0.42,0.97,-0.02,0.11,0.10,0.14,0.17,0.04,0.07,0.04,0.10,0.12,0.00,0.55,0.55,0.56,0.58,0.51,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,95.00,59.00,37.00,54.00,41.00,0.00,11/18/13,11/16/23
FDX,2.08,0.90,1.18,1.05,1.03,1.00,0.69,0.31,1.20,1.51,0.11,0.10,0.14,0.11,0.12,0.09,0.09,0.10,0.12,0.18,0.51,0.51,0.52,0.51,0.52,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,99.00,63.00,36.00,56.00,43.00,0.00,11/18/13,11/16/23
ES,1.50,0.62,0.88,0.91,0.59,0.92,-0.07,0.99,0.53,0.43,0.11,0.09,0.14,0.15,0.08,0.09,0.05,0.14,0.09,0.06,0.53,0.53,0.54,0.57,0.49,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,103.00,68.00,36.00,52.00,51.00,0.00,11/18/13,11/15/23
AAPL,2.69,1.69,1.00,1.87,0.82,-0.03,0.16,-0.19,0.82,0.73,0.17,0.20,0.13,0.23,0.11,0.11,0.13,0.08,0.11,0.10,0.54,0.55,0.53,0.55,0.51,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,88.00,54.00,35.00,50.00,38.00,0.00,11/18/13,11/15/23
CVX,1.61,0.28,1.33,1.08,0.54,0.95,0.24,0.71,0.73,0.12,0.09,0.04,0.13,0.11,0.07,0.07,0.04,0.11,0.07,0.02,0.51,0.49,0.53,0.53,0.47,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,116.00,67.00,50.00,62.00,54.00,0.00,11/18/13,11/16/23
ROK,1.86,0.57,1.29,1.10,0.76,0.54,-0.14,0.68,0.95,0.46,0.10,0.06,0.13,0.11,0.09,0.07,0.04,0.11,0.10,0.05,0.51,0.51,0.52,0.53,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,116.00,71.00,45.00,64.00,52.00,0.00,11/18/13,11/16/23
PFE,1.60,0.86,0.75,0.83,0.77,1.32,0.66,0.67,0.56,0.78,0.13,0.12,0.13,0.13,0.12,0.12,0.11,0.13,0.09,0.13,0.53,0.51,0.56,0.51,0.55,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,94.00,65.00,30.00,47.00,47.00,0.00,11/18/13,11/16/23
LUV,2.86,1.81,1.05,1.12,1.74,1.97,0.51,1.46,0.76,2.19,0.16,0.19,0.13,0.16,0.16,0.14,0.14,0.15,0.11,0.20,0.54,0.56,0.51,0.53,0.56,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.02,80.00,49.00,31.00,38.00,42.00,0.00,11/18/13,11/16/23
SRE,1.03,0.32,0.71,0.81,0.23,0.14,-0.19,0.33,0.33,-0.15,0.09,0.06,0.13,0.12,0.05,0.07,0.04,0.11,0.05,-0.02,0.53,0.52,0.54,0.55,0.49,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,91.00,60.00,32.00,55.00,36.00,0.00,11/18/13,11/16/23
MGM,2.40,0.76,1.65,1.54,0.87,0.65,-0.08,0.73,0.97,0.57,0.10,0.07,0.13,0.11,0.08,0.07,0.04,0.11,0.07,0.06,0.49,0.47,0.52,0.49,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,111.00,68.00,43.00,60.00,51.00,0.00,11/18/13,11/15/23
DD,1.95,0.69,1.26,0.85,1.10,1.25,0.41,0.84,0.64,1.28,0.10,0.08,0.13,0.09,0.11,0.09,0.07,0.11,0.07,0.13,0.50,0.49,0.52,0.50,0.51,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,108.00,66.00,42.00,56.00,52.00,0.00,11/18/13,11/16/23
ROL,1.85,1.00,0.85,1.77,0.08,-0.03,-0.07,0.04,1.10,-0.41,0.13,0.14,0.13,0.23,0.01,0.08,0.08,0.09,0.16,-0.06,0.54,0.53,0.56,0.57,0.49,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.01,91.00,57.00,35.00,49.00,42.00,0.00,11/18/13,11/16/23
MMC,1.08,0.31,0.77,0.87,0.21,-0.57,-0.58,0.01,0.60,-0.09,0.09,0.06,0.13,0.15,0.04,0.04,0.00,0.08,0.11,-0.01,0.51,0.49,0.56,0.54,0.46,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,103.00,68.00,35.00,56.00,47.00,0.00,11/18/13,11/16/23
TSN,1.13,0.37,0.75,0.83,0.29,0.21,-0.86,1.07,0.91,-0.01,0.08,0.05,0.13,0.11,0.04,0.06,0.00,0.14,0.12,0.00,0.52,0.50,0.54,0.54,0.50,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,97.00,62.00,36.00,51.00,46.00,0.00,11/18/13,11/16/23
META,1.78,0.68,1.10,1.63,0.15,-0.86,-1.04,0.18,1.29,-0.58,0.10,0.07,0.13,0.15,0.02,0.05,0.01,0.10,0.12,-0.07,0.51,0.49,0.54,0.52,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.03,105.00,69.00,36.00,63.00,42.00,0.00,11/18/13,11/15/23
PODD,3.26,1.77,1.50,1.84,1.43,0.76,-0.29,1.06,1.37,1.26,0.12,0.11,0.13,0.12,0.12,0.08,0.06,0.11,0.09,0.11,0.54,0.53,0.54,0.54,0.53,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.03,0.02,0.03,94.00,54.00,40.00,55.00,39.00,0.00,11/18/13,11/16/23
JCI,1.29,0.40,0.89,0.87,0.42,0.62,0.25,0.37,0.74,0.05,0.08,0.05,0.13,0.11,0.05,0.07,0.04,0.10,0.10,0.01,0.53,0.51,0.55,0.54,0.51,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,104.00,69.00,36.00,52.00,52.00,0.00,11/18/13,11/16/23
