Asset,SumT:All,SumT:<=2019,SumT:>=2020,SumT:Longs,SumT:Shorts,SumT-P:All,SumT-P:<=2019,SumT-P:>=2020,SumT-P:Longs,SumT-P:Shorts,SharpeT:All,SharpeT:<=2019,SharpeT:>=2020,SharpeT:Longs,SharpeT:Shorts,SharpeT-P:All,SharpeT-P:<=2019,SharpeT-P:>=2020,SharpeT-P:Longs,SharpeT-P:Shorts,%Win:All,%Win:<=2019,%Win:>=2020,%Win:Longs,%Win:Shorts,Mean:All,Mean:<=2019,Mean:>=2020,Mean:Longs,Mean:Shorts,Std:All,Std:<=2019,Std:>=2020,Std:Longs,Std:Shorts,No:All,No:<=2019,No:>=2020,No:Longs,No:Shorts,Stops,Start,End
SWKS,2.55,1.51,1.04,1.63,0.92,0.52,-0.35,0.88,1.33,0.76,0.12,0.13,0.10,0.14,0.09,0.08,0.07,0.10,0.11,0.08,0.52,0.51,0.52,0.52,0.51,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,102.00,59.00,43.00,56.00,46.00,0.00,11/18/13,11/16/23
FANG,2.61,0.53,2.08,1.62,0.98,0.23,-0.33,0.56,1.52,0.86,0.07,0.04,0.10,0.10,0.05,0.04,0.01,0.06,0.09,0.05,0.51,0.51,0.52,0.55,0.47,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.04,111.00,66.00,46.00,62.00,49.00,0.00,11/18/13,11/16/23
ORLY,1.29,0.54,0.75,1.55,-0.26,-1.11,-0.89,-0.21,0.73,-1.19,0.08,0.05,0.10,0.15,-0.04,0.02,-0.01,0.05,0.07,-0.16,0.51,0.49,0.55,0.54,0.45,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.01,0.02,99.00,60.00,39.00,56.00,43.00,0.00,11/18/13,11/16/23
DGX,1.59,0.73,0.85,1.43,0.16,0.51,0.13,0.38,0.62,-0.30,0.09,0.09,0.10,0.17,0.02,0.07,0.06,0.08,0.07,-0.03,0.52,0.51,0.54,0.55,0.48,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,97.00,62.00,35.00,50.00,47.00,0.00,11/18/13,11/16/23
HII,1.62,0.84,0.78,1.38,0.24,0.15,-0.42,0.58,0.68,-0.38,0.10,0.09,0.10,0.16,0.03,0.06,0.04,0.09,0.09,-0.04,0.53,0.52,0.55,0.57,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.01,0.02,90.00,56.00,34.00,44.00,46.00,0.00,11/18/13,11/16/23
HD,1.71,0.95,0.75,1.71,0.00,0.05,-0.09,0.14,0.69,-0.58,0.12,0.15,0.10,0.21,0.00,0.08,0.10,0.07,0.09,-0.09,0.55,0.54,0.56,0.58,0.50,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,89.00,53.00,36.00,48.00,41.00,0.00,11/18/13,11/16/23
DHR,1.27,0.45,0.81,1.38,-0.12,-0.42,-0.63,0.20,0.73,-0.80,0.08,0.07,0.10,0.16,-0.02,0.04,0.00,0.07,0.09,-0.12,0.52,0.51,0.54,0.55,0.47,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.01,117.00,76.00,41.00,64.00,53.00,0.00,11/18/13,11/15/23
MCHP,2.15,1.17,0.98,1.67,0.48,0.13,0.07,0.06,1.03,0.19,0.11,0.12,0.10,0.16,0.05,0.07,0.08,0.07,0.10,0.02,0.51,0.52,0.49,0.54,0.47,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.02,99.00,56.00,44.00,54.00,45.00,0.00,11/18/13,11/16/23
URI,3.68,2.61,1.07,2.51,1.17,0.85,1.28,-0.43,1.42,1.42,0.14,0.16,0.10,0.17,0.10,0.10,0.13,0.05,0.10,0.12,0.54,0.55,0.52,0.55,0.51,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,96.00,49.00,47.00,55.00,41.00,0.00,11/18/13,11/16/23
ETSY,3.91,2.02,1.88,2.55,1.36,1.53,0.91,0.62,1.94,1.50,0.11,0.12,0.10,0.14,0.08,0.08,0.09,0.07,0.11,0.08,0.51,0.49,0.54,0.51,0.51,0.00,0.00,0.00,0.01,0.00,0.04,0.04,0.04,0.04,0.04,82.00,48.00,35.00,46.00,36.00,0.00,04/16/15,11/16/23
IRM,1.64,0.76,0.88,1.81,-0.17,0.27,0.51,-0.24,0.79,-1.29,0.09,0.08,0.10,0.20,-0.02,0.06,0.07,0.05,0.09,-0.13,0.52,0.52,0.53,0.56,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,110.00,70.00,41.00,53.00,57.00,0.00,11/18/13,11/16/23
CRL,2.28,1.04,1.23,1.38,0.90,0.47,-0.23,0.70,0.84,0.85,0.10,0.11,0.10,0.14,0.07,0.06,0.05,0.08,0.09,0.07,0.52,0.52,0.51,0.54,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,100.00,61.00,40.00,53.00,47.00,0.00,11/18/13,11/16/23
EOG,1.86,0.68,1.18,1.30,0.56,0.68,0.57,0.11,0.90,0.00,0.08,0.06,0.10,0.10,0.05,0.06,0.06,0.07,0.07,0.01,0.50,0.50,0.51,0.51,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.02,109.00,66.00,44.00,58.00,51.00,0.00,11/18/13,11/16/23
STZ,1.56,0.74,0.82,1.24,0.32,0.00,-0.37,0.37,0.76,-0.04,0.09,0.09,0.10,0.14,0.04,0.06,0.04,0.08,0.09,0.00,0.52,0.51,0.53,0.54,0.49,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,101.00,61.00,40.00,57.00,44.00,0.00,11/18/13,11/16/23
LTC-USD,7.85,5.25,2.60,4.42,3.44,0.23,-0.02,0.25,3.74,4.76,0.13,0.16,0.10,0.15,0.11,0.09,0.11,0.07,0.13,0.16,0.48,0.48,0.48,0.48,0.48,0.01,0.01,0.00,0.01,0.01,0.05,0.05,0.05,0.05,0.05,123.00,69.00,54.00,73.00,50.00,0.00,09/17/14,11/15/23
LOW,1.85,0.94,0.91,1.72,0.13,0.05,-0.01,0.07,0.72,-0.68,0.10,0.11,0.10,0.19,0.01,0.06,0.07,0.06,0.08,-0.07,0.53,0.53,0.52,0.57,0.46,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,105.00,57.00,49.00,50.00,55.00,0.00,11/18/13,11/16/23
DLR,1.03,0.34,0.69,1.14,-0.11,-0.45,-0.65,0.21,0.84,-0.77,0.07,0.04,0.10,0.16,-0.02,0.04,0.00,0.08,0.12,-0.10,0.53,0.51,0.56,0.57,0.47,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,93.00,62.00,31.00,47.00,46.00,0.00,11/18/13,11/16/23
EBAY,1.74,0.80,0.94,1.60,0.14,0.70,0.16,0.54,1.20,-0.59,0.09,0.08,0.10,0.15,0.02,0.07,0.06,0.08,0.11,-0.06,0.50,0.48,0.53,0.53,0.46,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,105.00,64.00,42.00,56.00,49.00,0.00,11/18/13,11/16/23
LKQ,1.76,1.11,0.65,1.37,0.39,0.90,0.86,0.04,0.77,0.03,0.11,0.12,0.10,0.15,0.06,0.09,0.11,0.08,0.09,0.01,0.51,0.52,0.50,0.53,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,87.00,53.00,34.00,46.00,41.00,0.00,11/18/13,11/16/23
CBRE,2.43,1.61,0.82,1.51,0.91,0.68,0.44,0.24,1.03,0.54,0.12,0.14,0.10,0.15,0.10,0.09,0.09,0.08,0.11,0.06,0.54,0.55,0.52,0.55,0.53,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.01,0.02,112.00,72.00,41.00,58.00,54.00,0.00,11/18/13,11/15/23
NKE,1.88,1.02,0.86,1.03,0.85,0.47,-0.05,0.52,0.55,0.88,0.11,0.14,0.10,0.14,0.10,0.08,0.09,0.08,0.08,0.10,0.54,0.54,0.54,0.54,0.54,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,89.00,55.00,35.00,46.00,43.00,0.00,11/18/13,11/15/23
RHI,1.55,0.72,0.84,1.42,0.14,0.35,0.08,0.27,1.08,-0.62,0.09,0.08,0.10,0.14,0.02,0.07,0.06,0.07,0.11,-0.07,0.51,0.50,0.51,0.51,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,103.00,62.00,41.00,60.00,43.00,0.00,11/18/13,11/16/23
NCLH,2.09,0.55,1.54,1.17,0.92,1.21,-0.29,1.50,1.31,0.62,0.08,0.06,0.10,0.08,0.07,0.07,0.03,0.10,0.09,0.05,0.51,0.50,0.52,0.51,0.50,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.03,0.03,100.00,62.00,39.00,57.00,43.00,0.00,11/18/13,11/16/23
CAT,1.39,0.79,0.60,0.82,0.56,-0.16,0.08,-0.24,0.69,0.46,0.10,0.10,0.10,0.11,0.08,0.06,0.07,0.06,0.10,0.07,0.52,0.51,0.53,0.51,0.52,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,81.00,52.00,30.00,45.00,36.00,0.00,11/18/13,11/16/23
FLT,1.62,0.75,0.86,0.87,0.74,0.46,-0.35,0.80,0.82,0.66,0.09,0.08,0.10,0.10,0.08,0.06,0.04,0.10,0.09,0.07,0.51,0.50,0.52,0.53,0.47,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.01,0.02,107.00,63.00,45.00,59.00,48.00,0.00,11/18/13,11/16/23
IPG,0.99,0.03,0.96,0.93,0.05,-0.10,-0.35,0.25,0.91,-0.81,0.05,0.00,0.10,0.09,0.01,0.03,-0.01,0.07,0.09,-0.08,0.50,0.48,0.54,0.53,0.47,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,124.00,83.00,42.00,66.00,58.00,0.00,11/18/13,11/16/23
MKC,0.95,0.25,0.70,0.83,0.12,0.06,-0.69,0.74,0.69,-0.38,0.07,0.04,0.10,0.12,0.02,0.04,-0.01,0.10,0.10,-0.05,0.51,0.49,0.54,0.54,0.47,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.01,106.00,68.00,38.00,53.00,53.00,0.00,11/18/13,11/16/23
ALK,2.87,1.58,1.29,1.47,1.40,2.13,0.74,1.39,0.82,1.69,0.11,0.14,0.10,0.12,0.10,0.10,0.11,0.10,0.07,0.12,0.52,0.53,0.50,0.52,0.52,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.02,0.03,97.00,59.00,38.00,48.00,49.00,0.00,11/18/13,11/16/23
NWSA,1.77,0.81,0.96,1.35,0.42,1.14,0.89,0.26,0.89,0.01,0.09,0.08,0.10,0.15,0.04,0.07,0.08,0.07,0.10,0.00,0.50,0.50,0.49,0.52,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,108.00,65.00,43.00,48.00,60.00,0.00,11/18/13,11/16/23
FMC,2.15,1.36,0.79,1.21,0.94,1.84,0.77,1.07,0.94,0.86,0.11,0.13,0.10,0.13,0.10,0.11,0.11,0.11,0.11,0.09,0.52,0.53,0.51,0.52,0.51,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,106.00,63.00,43.00,55.00,51.00,0.00,11/18/13,11/16/23
ADSK,2.04,1.21,0.83,1.88,0.16,-0.20,-0.53,0.33,1.17,-0.74,0.09,0.09,0.10,0.17,0.02,0.05,0.03,0.08,0.10,-0.07,0.51,0.51,0.52,0.55,0.46,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,107.00,69.00,38.00,54.00,53.00,0.00,11/18/13,11/16/23
MKTX,1.81,0.84,0.97,1.44,0.38,0.10,-1.06,1.16,0.90,-0.12,0.09,0.08,0.10,0.14,0.04,0.06,0.01,0.11,0.09,-0.01,0.52,0.51,0.53,0.53,0.51,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,97.00,59.00,38.00,48.00,49.00,0.00,11/18/13,11/16/23
VZ,0.88,0.42,0.46,0.43,0.45,0.94,0.25,0.69,0.41,0.23,0.08,0.07,0.10,0.09,0.08,0.08,0.07,0.11,0.09,0.04,0.52,0.51,0.54,0.54,0.51,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,100.00,58.00,42.00,48.00,52.00,0.00,11/18/13,11/16/23
POOL,1.14,0.33,0.81,1.02,0.13,-1.14,-1.13,-0.01,0.65,-0.37,0.07,0.05,0.10,0.14,0.02,0.02,-0.02,0.06,0.09,-0.04,0.51,0.49,0.55,0.53,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,90.00,58.00,32.00,48.00,42.00,0.00,11/18/13,11/16/23
BIO,1.13,0.34,0.79,0.79,0.34,-0.20,-0.93,0.73,0.81,-0.30,0.07,0.05,0.10,0.09,0.05,0.04,-0.01,0.09,0.09,-0.02,0.52,0.50,0.56,0.53,0.51,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,100.00,60.00,40.00,52.00,48.00,0.00,11/18/13,11/16/23
PSX,1.87,0.76,1.11,1.41,0.45,0.71,0.20,0.51,0.98,0.12,0.09,0.09,0.10,0.12,0.05,0.07,0.07,0.08,0.08,0.02,0.51,0.51,0.51,0.52,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,108.00,66.00,42.00,64.00,44.00,0.00,11/18/13,11/16/23
STX,2.93,1.96,0.96,2.37,0.56,1.62,1.37,0.25,1.25,-0.01,0.13,0.15,0.10,0.20,0.05,0.11,0.14,0.07,0.12,0.00,0.52,0.51,0.52,0.55,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,94.00,50.00,45.00,49.00,45.00,0.00,11/18/13,11/16/23
VRSK,1.26,0.56,0.70,1.16,0.11,-0.32,-0.37,0.05,0.87,-0.30,0.09,0.10,0.10,0.14,0.02,0.05,0.04,0.06,0.11,-0.05,0.54,0.53,0.55,0.56,0.49,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,94.00,56.00,38.00,55.00,39.00,0.00,11/18/13,11/16/23
BBY,2.73,1.91,0.82,1.99,0.74,1.53,0.88,0.65,1.44,0.27,0.11,0.12,0.10,0.17,0.06,0.09,0.10,0.09,0.13,0.02,0.54,0.55,0.54,0.58,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.03,104.00,61.00,43.00,49.00,55.00,0.00,11/18/13,11/16/23
NVDA,3.07,1.81,1.26,3.31,-0.24,-2.81,-1.37,-1.44,1.37,-1.28,0.13,0.17,0.10,0.21,-0.03,0.05,0.09,0.02,0.09,-0.14,0.55,0.57,0.53,0.58,0.48,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.03,0.02,0.03,88.00,50.00,39.00,53.00,35.00,0.00,11/18/13,11/15/23
NWS,1.84,0.91,0.93,1.50,0.35,1.19,0.99,0.20,0.95,-0.17,0.09,0.10,0.10,0.16,0.03,0.08,0.10,0.06,0.11,-0.01,0.50,0.51,0.48,0.52,0.47,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,105.00,64.00,42.00,47.00,58.00,0.00,11/18/13,11/16/23
SCHW,1.87,0.87,1.00,1.52,0.35,0.46,0.01,0.46,0.89,0.00,0.08,0.08,0.10,0.13,0.04,0.06,0.05,0.07,0.08,0.00,0.51,0.51,0.51,0.53,0.46,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,107.00,64.00,43.00,59.00,48.00,0.00,11/18/13,11/16/23
RTX,1.43,0.75,0.69,0.87,0.57,0.90,0.39,0.50,0.48,0.31,0.09,0.10,0.10,0.11,0.07,0.08,0.08,0.09,0.06,0.04,0.51,0.51,0.51,0.52,0.51,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,98.00,58.00,41.00,52.00,46.00,0.00,11/18/13,11/16/23
AMZN,1.81,1.08,0.73,1.69,0.12,-0.78,-0.79,0.02,1.26,-0.49,0.10,0.10,0.10,0.14,0.02,0.05,0.04,0.06,0.11,-0.06,0.51,0.51,0.53,0.53,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,94.00,53.00,42.00,57.00,37.00,0.00,11/18/13,11/16/23
AKAM,2.41,1.73,0.67,1.56,0.85,1.02,0.78,0.23,1.48,0.66,0.12,0.13,0.10,0.13,0.10,0.09,0.10,0.07,0.13,0.08,0.52,0.53,0.51,0.54,0.51,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,107.00,69.00,38.00,61.00,46.00,0.00,11/18/13,11/16/23
NSC,1.15,0.58,0.57,1.15,0.00,-0.12,-0.35,0.23,0.80,-0.65,0.08,0.06,0.10,0.13,0.00,0.05,0.03,0.08,0.10,-0.09,0.52,0.50,0.57,0.58,0.45,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,96.00,61.00,36.00,50.00,46.00,0.00,11/18/13,11/16/23
INCY,2.50,1.76,0.74,1.55,0.94,1.63,0.60,1.03,0.85,0.67,0.09,0.09,0.09,0.11,0.07,0.08,0.07,0.11,0.07,0.05,0.50,0.46,0.56,0.48,0.53,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.02,0.02,0.03,102.00,62.00,40.00,53.00,49.00,0.00,11/18/13,11/16/23
SNPS,1.67,0.96,0.71,1.99,-0.32,-1.40,-0.50,-0.90,0.98,-1.07,0.11,0.13,0.09,0.20,-0.06,0.04,0.06,0.02,0.10,-0.20,0.53,0.51,0.55,0.56,0.41,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,91.00,57.00,34.00,52.00,39.00,0.00,11/18/13,11/16/23
WYNN,3.29,1.96,1.33,1.67,1.62,2.72,1.58,1.13,1.46,1.57,0.12,0.15,0.09,0.12,0.12,0.11,0.14,0.09,0.10,0.12,0.53,0.55,0.50,0.51,0.56,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.03,0.03,0.03,107.00,59.00,49.00,51.00,56.00,0.00,11/18/13,11/16/23
HES,2.55,1.54,1.01,1.30,1.25,1.04,1.40,-0.36,1.12,1.60,0.11,0.12,0.09,0.10,0.12,0.09,0.12,0.05,0.08,0.16,0.53,0.54,0.53,0.54,0.53,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,95.00,57.00,39.00,55.00,40.00,0.00,11/18/13,11/16/23
STLD,2.44,1.39,1.05,2.54,-0.11,-0.10,0.54,-0.64,1.07,-1.35,0.09,0.09,0.09,0.17,-0.01,0.05,0.07,0.04,0.07,-0.11,0.51,0.51,0.52,0.54,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.02,107.00,62.00,45.00,53.00,54.00,0.00,11/18/13,11/16/23
ORCL,0.80,0.30,0.50,0.88,-0.08,-0.75,-0.19,-0.55,1.07,-0.95,0.06,0.04,0.09,0.12,-0.02,0.03,0.02,0.04,0.14,-0.14,0.49,0.48,0.51,0.52,0.45,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.01,111.00,67.00,45.00,61.00,50.00,0.00,11/18/13,11/16/23
AJG,1.09,0.59,0.51,1.14,-0.05,-0.78,-0.15,-0.63,0.52,-0.50,0.09,0.11,0.09,0.18,-0.01,0.04,0.06,0.03,0.09,-0.10,0.55,0.54,0.58,0.58,0.48,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,96.00,61.00,35.00,55.00,41.00,0.00,11/18/13,11/16/23
CMI,1.54,0.92,0.61,0.92,0.62,0.63,0.52,0.10,0.61,0.48,0.11,0.12,0.09,0.11,0.10,0.08,0.10,0.07,0.08,0.08,0.51,0.51,0.51,0.52,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,94.00,55.00,39.00,50.00,44.00,0.00,11/18/13,11/16/23
GE,2.12,1.34,0.79,1.29,0.83,1.86,1.96,-0.10,0.75,0.88,0.12,0.16,0.09,0.13,0.11,0.12,0.18,0.06,0.08,0.11,0.53,0.56,0.49,0.53,0.53,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,92.00,56.00,36.00,49.00,43.00,0.00,11/18/13,11/16/23
ACN,1.20,0.43,0.77,1.16,0.05,-0.54,-0.62,0.09,0.64,-0.59,0.08,0.07,0.09,0.13,0.01,0.03,0.01,0.06,0.08,-0.09,0.53,0.52,0.55,0.56,0.47,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,103.00,61.00,43.00,55.00,48.00,0.00,11/18/13,11/16/23
PLD,1.25,0.58,0.67,0.93,0.33,-0.15,-0.30,0.15,0.69,0.06,0.09,0.08,0.09,0.12,0.05,0.05,0.04,0.07,0.10,0.01,0.52,0.51,0.55,0.54,0.50,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,105.00,66.00,39.00,57.00,48.00,0.00,11/18/13,11/16/23
HON,0.76,0.17,0.59,0.64,0.12,-0.33,-0.59,0.26,0.53,-0.48,0.06,0.03,0.09,0.09,0.02,0.03,-0.01,0.08,0.07,-0.07,0.51,0.50,0.51,0.53,0.45,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,111.00,71.00,40.00,61.00,50.00,0.00,11/18/13,11/16/23
AXON,3.93,2.89,1.04,3.39,0.54,0.20,0.79,-0.59,1.43,-0.11,0.14,0.17,0.09,0.22,0.04,0.09,0.12,0.04,0.10,0.00,0.53,0.54,0.52,0.57,0.48,0.00,0.00,0.00,0.01,0.00,0.03,0.03,0.03,0.03,0.03,97.00,52.00,45.00,49.00,48.00,0.00,11/18/13,11/16/23
CSCO,0.92,0.31,0.61,0.92,0.00,-0.22,-0.56,0.33,0.77,-0.62,0.07,0.04,0.09,0.11,0.00,0.04,0.01,0.08,0.10,-0.10,0.51,0.51,0.50,0.53,0.46,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,113.00,70.00,44.00,64.00,49.00,0.00,11/18/13,11/16/23
COO,1.73,1.09,0.64,1.46,0.28,0.41,0.02,0.39,0.99,-0.09,0.10,0.12,0.09,0.15,0.04,0.07,0.07,0.08,0.11,-0.01,0.52,0.52,0.53,0.54,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,87.00,56.00,31.00,46.00,41.00,0.00,11/18/13,11/16/23
BEN,1.36,0.63,0.73,1.04,0.31,1.59,1.29,0.30,0.91,-0.40,0.08,0.08,0.09,0.12,0.04,0.09,0.10,0.07,0.11,-0.04,0.52,0.52,0.53,0.55,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,103.00,63.00,41.00,45.00,58.00,0.00,11/18/13,11/16/23
SEE,1.60,0.73,0.88,0.71,0.89,1.08,0.37,0.71,0.83,0.78,0.09,0.10,0.09,0.10,0.08,0.08,0.08,0.08,0.12,0.08,0.50,0.52,0.48,0.53,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,98.00,55.00,44.00,42.00,56.00,0.00,11/18/13,11/16/23
BDX,0.91,0.37,0.53,0.92,-0.02,-0.14,-0.60,0.47,0.71,-0.65,0.07,0.05,0.09,0.14,0.00,0.04,0.00,0.09,0.11,-0.10,0.52,0.51,0.53,0.54,0.47,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,105.00,70.00,36.00,51.00,54.00,0.00,11/18/13,11/16/23
BMY,1.14,0.63,0.51,0.46,0.68,0.83,0.32,0.50,0.74,0.60,0.08,0.07,0.09,0.06,0.09,0.07,0.06,0.09,0.10,0.08,0.51,0.50,0.53,0.51,0.52,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.01,0.02,102.00,62.00,40.00,55.00,47.00,0.00,11/18/13,11/15/23
MAS,1.62,0.87,0.75,0.68,0.94,0.05,-0.22,0.26,0.64,0.82,0.09,0.09,0.09,0.09,0.09,0.05,0.04,0.07,0.08,0.08,0.52,0.51,0.54,0.53,0.52,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.01,0.02,106.00,64.00,43.00,51.00,55.00,0.00,11/18/13,11/16/23
WHR,1.35,0.65,0.70,0.62,0.74,1.00,0.53,0.47,0.74,0.44,0.07,0.06,0.09,0.08,0.07,0.07,0.06,0.08,0.10,0.04,0.52,0.52,0.53,0.53,0.51,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,100.00,62.00,38.00,48.00,52.00,0.00,11/18/13,11/16/23
MTCH,1.94,0.95,1.00,1.25,0.69,0.25,-1.18,1.44,1.17,0.02,0.07,0.06,0.09,0.09,0.05,0.05,0.00,0.10,0.08,0.00,0.51,0.50,0.53,0.50,0.52,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.03,0.02,0.03,112.00,70.00,43.00,63.00,49.00,0.00,11/18/13,11/16/23
TT,1.45,0.55,0.90,1.54,-0.09,-0.59,-0.43,-0.16,0.81,-0.97,0.08,0.07,0.09,0.17,-0.01,0.03,0.02,0.04,0.09,-0.10,0.51,0.48,0.54,0.53,0.47,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,115.00,67.00,48.00,62.00,53.00,0.00,11/18/13,11/16/23
SO,0.84,0.32,0.52,0.84,0.01,0.03,-0.09,0.11,0.54,-0.42,0.07,0.06,0.09,0.13,0.00,0.05,0.04,0.07,0.08,-0.08,0.51,0.50,0.53,0.55,0.45,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,103.00,65.00,39.00,56.00,47.00,0.00,11/18/13,11/16/23
TYL,1.82,1.14,0.69,1.84,-0.02,-0.07,-0.19,0.13,1.13,-0.88,0.10,0.11,0.09,0.16,0.00,0.06,0.05,0.06,0.10,-0.12,0.54,0.54,0.53,0.57,0.46,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,104.00,63.00,42.00,64.00,40.00,0.00,11/18/13,11/16/23
BAX,0.64,0.11,0.54,0.87,-0.22,0.40,-0.75,1.15,0.56,-1.11,0.05,0.02,0.09,0.15,-0.04,0.05,-0.03,0.12,0.10,-0.16,0.50,0.50,0.50,0.53,0.46,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,109.00,69.00,41.00,47.00,62.00,0.00,11/18/13,11/16/23
PNW,0.83,0.31,0.52,0.47,0.36,0.24,-0.15,0.39,0.55,0.16,0.06,0.05,0.09,0.08,0.05,0.05,0.02,0.08,0.09,0.03,0.52,0.52,0.52,0.53,0.51,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,100.00,64.00,36.00,51.00,49.00,0.00,11/18/13,11/16/23
SPG,1.53,0.71,0.83,1.19,0.34,0.96,0.70,0.26,0.80,-0.02,0.08,0.09,0.09,0.11,0.05,0.07,0.09,0.07,0.08,0.00,0.51,0.51,0.51,0.54,0.47,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.02,102.00,64.00,38.00,52.00,50.00,0.00,11/18/13,11/16/23
